TS,Image,FPS,Frame_No,Latitude,Longitude,Object_ID,x1,y1,x2,y2,LP_Text
01-10-2024_15-44-56,00000000.png,24.0,38.0,35.915170377962724,14.495216967442692,0,839.0,63.0,1920.0,844.0,
01-10-2024_15-44-56,00000000.png,24.0,38.0,35.915170377962724,14.495216967442692,1,1156.0,515.0,1314.0,576.0,
01-10-2024_15-44-56,00000000.png,24.0,38.0,35.915170377962724,14.495216967442692,0,1822.0,55.0,1920.0,237.0,
01-10-2024_15-45-00,00000001.png,24.0,57.0,35.915170377962724,14.495216967442692,0,453.0,315.0,649.0,526.0,
01-10-2024_15-45-00,00000001.png,24.0,57.0,35.915170377962724,14.495216967442692,0,389.0,333.0,1248.0,910.0,
01-10-2024_15-45-00,00000001.png,24.0,57.0,35.915170377962724,14.495216967442692,1,835.0,561.0,968.0,598.0,
01-10-2024_15-45-00,00000001.png,24.0,57.0,35.915170377962724,14.495216967442692,0,226.0,355.0,336.0,463.0,
01-10-2024_15-45-00,00000001.png,24.0,57.0,35.915170377962724,14.495216967442692,0,326.0,359.0,521.0,477.0,
01-10-2024_15-45-03,00000002.png,24.0,95.0,35.915170377962724,14.495216967442692,0,329.0,0.0,1468.0,1080.0,
01-10-2024_15-45-03,00000002.png,24.0,95.0,35.915170377962724,14.495216967442692,1,887.0,686.0,1106.0,756.0,
01-10-2024_15-45-03,00000002.png,24.0,95.0,35.915170377962724,14.495216967442692,0,218.0,218.0,359.0,321.0,
01-10-2024_15-45-03,00000002.png,24.0,95.0,35.915170377962724,14.495216967442692,0,358.0,241.0,613.0,404.0,
01-10-2024_15-45-03,00000002.png,24.0,95.0,35.915170377962724,14.495216967442692,0,64.0,234.0,193.0,332.0,
01-10-2024_15-45-06,00000003.png,24.0,112.0,35.915170377962724,14.495216967442692,0,839.0,63.0,1920.0,844.0,
01-10-2024_15-45-06,00000003.png,24.0,112.0,35.915170377962724,14.495216967442692,1,1156.0,515.0,1314.0,576.0,
01-10-2024_15-45-06,00000003.png,24.0,112.0,35.915170377962724,14.495216967442692,0,1822.0,55.0,1920.0,237.0,
01-10-2024_15-45-10,00000004.png,24.0,2.0,35.915170377962724,14.495216967442692,0,453.0,315.0,649.0,526.0,
01-10-2024_15-45-10,00000004.png,24.0,2.0,35.915170377962724,14.495216967442692,0,389.0,333.0,1248.0,910.0,
01-10-2024_15-45-10,00000004.png,24.0,2.0,35.915170377962724,14.495216967442692,1,835.0,561.0,968.0,598.0,
01-10-2024_15-45-10,00000004.png,24.0,2.0,35.915170377962724,14.495216967442692,0,226.0,355.0,336.0,463.0,
01-10-2024_15-45-10,00000004.png,24.0,2.0,35.915170377962724,14.495216967442692,0,326.0,359.0,521.0,477.0,
01-10-2024_15-45-13,00000005.png,24.0,81.0,35.915170377962724,14.495216967442692,0,453.0,315.0,649.0,526.0,
01-10-2024_15-45-13,00000005.png,24.0,81.0,35.915170377962724,14.495216967442692,0,389.0,333.0,1248.0,910.0,
01-10-2024_15-45-13,00000005.png,24.0,81.0,35.915170377962724,14.495216967442692,1,835.0,561.0,968.0,598.0,
01-10-2024_15-45-13,00000005.png,24.0,81.0,35.915170377962724,14.495216967442692,0,226.0,355.0,336.0,463.0,
01-10-2024_15-45-13,00000005.png,24.0,81.0,35.915170377962724,14.495216967442692,0,326.0,359.0,521.0,477.0,
01-10-2024_15-45-16,00000006.png,24.0,7.0,35.915170377962724,14.495216967442692,0,1806.0,138.0,1908.0,249.0,
01-10-2024_15-45-16,00000006.png,24.0,7.0,35.915170377962724,14.495216967442692,0,1383.0,175.0,1633.0,328.0,
01-10-2024_15-45-16,00000006.png,24.0,7.0,35.915170377962724,14.495216967442692,0,1862.0,150.0,1920.0,218.0,
01-10-2024_15-45-16,00000006.png,24.0,7.0,35.915170377962724,14.495216967442692,0,1824.0,158.0,1920.0,225.0,
01-10-2024_15-45-16,00000006.png,24.0,7.0,35.915170377962724,14.495216967442692,0,631.0,134.0,1783.0,1031.0,
